Username,Ulasan,Keterangan
Cinta,"Masih banyak tempat dalam perbaikan dan ada pula tempat yg tak terawat, cukup melelahkan jalan menyusurin tiap - tiap tempat dan sepertinya bunbin surabaya cocok buat tempat olahraga.",2
Vit Ri12,"Luas banget,lumayan banyak pohon jadi rindang,rutenya membingungkan hihihi,hewan2nya kurang aktif,mungkin beda lagi kalau kesana hari wekeend
Htm : 15/orang,anak dibawah 2 tahun belum terkena tiket,atau anak dibawah tinggi 85cm belum terkena tiket,wekday dan wekend harga SAMA,tiket parkir 5rb",0
Maulida Milyuna,"Terakhir ke KBS waktu masih kuliah dulu, sekarang tambah keren tempatnya,cuman sayang beberapa satwa gak ada. Seperti harimau benggala, badak, dan beberapa tempat satwa dalam perbaikan.",0
uut_udhel 29,"hari minggu hampir seperti lautan manusia

untuk hewanya gak begitu banyak, tempat segede itu kurang di manfaatkan dengan baik lagi, hawan hanya ada 1ekor tiap tempat, itupun kalau nampak, kalau gak nampak ya kosongan",2
Thata Pang,Kebun binatangnya luas sekali. Cukup bersih dan rimbun. Satwanya cukup lengkao walaupun ada yang kururs 🤗 …,1
Refaldijana Prasetya,"Harga tiket masuk 15rb per orang, parkir 5rb wajib bawa stnk, cocok buat si kecil dan dewasa, kalau mau masuk ke wahana aquarium bayar lagi, kalau mau naik gajah jgn hari sabtu sama ahad karena bayar 100rb, mending hari biasa, murah...!!! …",1
sukmono dadang hartanto,"tempat rekreasi keluarga yang sederhana namun penuh memori, dari saya kecil sampai punya anak KBS masih tempat favorit walaupun beberapa hewan sudah tidak terlihat lagi 😊 …",1
dyan suci harfiana,"tempat wisata utk mengenalkan anak pada hewan2, tiket masuk hanya 15k tapi kalau mau masuk aquarium 30k, naik gajah 100k dan mau berenang atau wahana didalam bayar tiket lagi. Tempatnya luas, bersih, anak2 selalu senang kalau diajak kesini.",1
SANsans amatir,"Banyak hewan yang hidup sendirian dalam 1 kandang, jadi kasian melihatnya contoh nya Zebra,Orang hutan,Simpanse. …",2
chofifah parawansa,"Ku kurleb Uda ke sini 3-4 kalian kalah di hitung dari kecil, itu dulu agak usang sih
Alhamdulillah ini skrg thn 2023 Uda keren !! …",1
Ellen Kaichan,"Tempatnya bersih, nyaman. Kekurangannya adalah tempat duduk yang terbilang masih sedikit dengan jumlah pengunjung yang banyak. Akhirnya tak sedikit pengunjung yang merelakan duduk di tanah (karena pihak KBS melarang membawa tikar dan smcm nya ""seingatku"")",0
Hani Novita,"Kami berkunjung tanggal 21 Agustus 2022 sekitar jam 10 pagi.

Pengunjung sudah sangat ramai ditambah dengan ada acara anak-anak. …",1
DinaHarDina,"Kebun binatang yang sekarang jauh lebih rindang, bersih dan terawat. Tiket masuk hanya 15.000 …",1
Hana Jasumin,"Bagussss banget cocok buat wisata edukasi, tiket masuknya pun terjangkau cuma 15k tiap orang... semoga hewan2 langka dapat hidup dengan baik dan terpelihara di sini 😍😍 …",1
_snow flake,"Lokal destinasi yang bisa kamu kunjungi kalau di Surabaya. Tempatnya bersih dan sejuk, luas banget, jadi anak-anak bisa leluasa bermain dan belajar. Banyak spot jual minuman dan makanan ringan jadi enggak bakalan kelaparan. Boleh foto-foto …",1
Happy Channel,kesini pas pagi baru buka dan kebetulan hari kerja juga (krn semalam hujan) jadi pertama masuk kebun binatang sejuk bgt ada kabut2 nya 🥰 dan Krn blm ada pengunjung lain berasa explore di hutan beneran 😂 seru!!! …,1
Meta Letiyanti,Tempatnya sejuk sih karena banyak pohon & tanaman. HTM juga murah hanya 15.000 dan untuk anak-anak usia 2th ke atas baru bayar. Pembayaran non tunai dengan scan barcode. Untuk hewan-hewan ya lumayan banyak. Cuma menurutku yang paling banyak …,1
Kiki Ashfiya,"Cocok buat liburan nge refresh pikiran sambil liatin satwa, tempat nya luas, bersih, nyaman, banyak food court jadi ga sampai kelaparan karna butuh tenaga ekstra buat jalan kaki wkwk 😂 …",1
Anufa Ika,"Wisata edukasi, terutama untuk anak anak kecil, hewan hewannya lengkap, fasilitas lengkap, lingkungan bersih, asri, harga tiket murah meriah.
Tapi di beberapa area lain ada yg masuknya harus membayar lagi, seperti di …",1
Liaahaq,Jadi tukang foto satu keluarga. Emang kalau kesini wajib bawa satu orang di luar keluarga biar ada yang motoin ya bun. KBS masih jadi tempat yang nyaman dan murah untuk edukasi anak-anak. Harga makanan juga ga terlalu mahal jadi ga perlu …,1
Bahtria Elsa Kartika,"Seru sekali akhirnya bisa Pergi ke Kebun Binatang lagi. KBS makin bagus, luas dan bersih, selain aneka satwa, di dalam KBS juga ada wahana naik Perahu menyusuri danau di dalam KBS dan tersedia beragam toko souvenir, oleh2, aneka makanan dan …",1
viskamto bayu prayugo,"Masih jadi tempat edukasi favorit mengenalkan dunia flora & fauna untuk anak-anak. Koleksi hewan-hewannya masih lengkap, kandang jg mulai lebih ditata rapi dg pagar kaca agar bisa lebih leluasa melihat koleksi hewannya. Yang pasti saat ini …",1
Vivi Prastari,"LEBIH BAGUS
over all bagus sih cuman look untuk binatangnya jauh banget, jadi keliatan kecil binatangnya. Seperti singa harimau dan beberapa primata lain. …",0
Miftahul Huda,"Salah satu tempat rekreasi yg wajib dikunjungi oleh warga Surabaya dan sekitarnya, selain sbg tempat edukasi, kebun binatang Surabaya jg tempat yg cocok untuk sekedar melepas lelah saat weekend, karena tempatnya cukup sejuk dan rindang …",1
Bocah Lemu,"Koleksi hewan2nya banyak Lo BESTie
Banyak juga spot2 foto yang instagramebel donk. Kolam renangnya juga ok punya donk. Untuk family tempat ini sangat direkomendasikan loooo. Yuk segera datang kesini!!!!!",1
Andita Kusuma Ningtyas,"Weekend ramai sekali, cocok buat jalan-jalan bareng keluarga apalagi anak-anak. Tapi beberapa hewannya ada yg tidak terlalu keliahatan ya, kemaren kesana tidak bisa liat buaya-nya. Beberapa kandang hewan sepertinya juga masih perlu perawatan dan kebersihannya ya.",0
Hariono Ahong,"Sabtu,14-mei kesini.
Tempat wisata yg nyaman tuk keluarga.Terutama para bocil,senang melihat aneka ragam satwa disini.Tempat,nyaman,luas,agak panas meskipun banyak pohon2.cuma masih banyak pengunjung yg buang sampah bukan pada tempatnya.",0
Anak Lanang,"Katanya utk berkunjung d area terbuka Masker sudah tidak diberlakukan,tp kenapa d Kebun binatang sja harus pke masker & anehnya masker harus terpakai cuma buat melewati loket pintu masuk.setelah masuk/keluar Masker sudah tdk …",2
Sarie Avriel,"HTM 15rb,
Ke sini pas tanggal merah dan tanggal muda..
pengunjung fulllll. …",0
Alifa Nur,Tempat wisata yang sangat cocok untuk keluarga terutama untuk anak-anak . Disana kita bisa mengenalkan anak kita berbagai macam hewan-hewan .Tiket masuk juga murah tidak menguras kantong.,1
Bee Bee,"Hari weekend lumayan rame ya.  Tempat nya asyik gak ngebosenin , boleh bawa makanan dri luar . Tempat nya bersih . Jangan lupa pakai masker . Tiket 1org 15k .",1
Reno Driawan,"Pertama kali ke Kebun Binatang Surabaya sejak terakhir saat umur saya sekitar 6-7 tahunan. Padahal udah di Surabaya selama 3 tahun, tpi baru kali ini ada kesempatan untuk kesana 😂 …",1
Dina Anggara Kusuma,"Cari parkiran di sini susah, karena padat pengunjung terpaksa parkir di gedung parkir Joyoboyo.
Harga tiket masuk perorangnya 15rb saja, ramah di kantong, jadi jangan berharap …",2
siapa hayoo,"Tempat parkir luas, loket tiket terbagi 2 jadi bisa meminimalisir antrian, tempatnya pun bersih, adem, dan bagus untuk orang-orang yang suka berfoto dan bermain dgn keluarga kecil sambil memperkenalkan hewan kepada anak-anak. Oiya, boleh …",1
Kevin Merlinda,"Kesini lagi untuk liburan akhir tahun di bulan Desember 2021. Tempatnya bersih, rindang, ada berbagai jenis hewan. Bisa feeding animal juga. Di dalamnya juga ada stan"" yang menjual makanan dan pernak-pernik KBS, jadi kalo laper bisa langsung cuss beli hahah. Tiket masuknya sekitar 15.000 untuk orang dewasa.",1
Aditya Agus Setyawan,"Wisata legendaris dan murah di Kota Surabaya, setelah 20 tahun tidak mampir, ternyata Kebun Binatang Surabaya disulap menjadi Kebun Binatang yang sangat nyaman, accessible, namun bagi pengunjung mohon kesadaran dirinya untuk menjaga kebersihan",1
Tantri Sumiati,Tempatnya lebih bersih dan lebih banyak sport fotonya... tp kenapa ya binatang nya sekarang lebih sedikit .. tiket masuknya masih terjangkau 15k.. tp masuk aquarium bayar LG ya 30k 😔 …,2
Kangdadang Palingkasep,"Sudah lebih bagus dari sebelumnya. Tapi karena high seoson awal tahun jadi ramenya bukan main. Gak lihat binatang malah lihat2an sama pengunjung lainnya. Untuk tiket sangat terjangkau, binatang sepertinya masih kurang ya perlu di tambah koleksinya.",0
Indah Puji Lestari,"Suka. Adem. Hijau... Tapi sayang bbrp tempat kaya nggak terawat. Hewannya juga kurang lengkap kalo menurutku sih.
Tiket masuk murah. Tp kalo mau masuk ke bbrp wahana harus bayar lagi. Tp secara keseluruhan kalo untuk membuang penat kerja. Buat nyantai, ngademin mata.... Cocok banget...",1
Albert Subekti,"Tempat terbaik untuk hiburan murah buat liburan anak2, tiket masuk murah 15rb, yg mahal kasi makan jerapah 100rb bisa buat 5org tpi dikit bgt pakannya, yg akuarium di dalam tiket masuknya lebih mahal dripd tiket masuk zoonya 30rb, better d …",1
Hendra Orcha,"Pengunjung ckp ramai, sayang nya koleksi hewan kurang lengkap. Yg lbh parah di area zona aquarium. Dengan membeli tiket lagi senilai 30rb. Ikan yg ada d sini sedikit sekali. Bnyk ikan pasar yg sering kita jumpai di pasar ikan. Semoga ke depannya lbh ada peningkatan pelayanan dan fasilitas lagi.",0
Jumaro,"Masuk area kebun binatang surabaya harus sdh vaksin 2x
Prodkes ttp dijalankan
Loket harga masuk tetap 15rb/org …",0
Avita Peace,"Parkir sepeda motor 5rb
Tiket masuk 15rb/orang
Aquarium 20rb/orang …",0
Sayugi _,Graha setyowati sangat menyenangkan saat menghadiri pesta perkawinan di Taman terbuka dengan udara segar dan hamparan kolam. Sayangnya Tulisan Graha Setyowati / Gedungnya dari depan tidak nampak tertutup rimbunnya pohon/ tanaman,0
Fu Jr,"Suasana bonbin yg skr agak panas meski lebih tertata. Beberapapohon yg rindang besar sudah berkurang akibatnya mengurangi kesejukan. Lebih banyak gerai makanan. Tour sign perlu di detailkan lagi agar pengunjung bisa puas. Jika hari libur mending datang lebih awal krn oarkiran cepat penuh, klo parkir diluar tarif Rp 40K.",2
Eka Reni Suryaningsih,"Terakhir kesini waktu TK! Wkwkwk Kesini karena ada sodara datang dari luar pulau. Hewannya cukup banyak, rame banget karena saya kesana hari minggu. …",1
Mickael Putra Johanies,"Kebun binatang raya yang terkenal di Surabaya, parkir luas, tiket masuk 15ribu perorangan dan parkir 5000 per motor, cocok untuk bersama keluarga dan teman teman dekat seperti teman kantor, banyak aneka hewan disini dan suasana enak sejuk, dan luas tempatnya, bisa belajar hewan disini dan tersedia bioskop 3 dimensi untuk anak anak",1
Sigid Wahyudi,"Kebun Binatang Surabaya (KBS)adalah salah satu kebun binatang yang populer di Indonesia dan terletak di Surabaya. KBS merupakan kebun binatang yang pernah terlengkap se-Asia Tenggara, di dalamnya terdapat lebih dari 211 spesies satwa yang …",1
IRMA RACHIM,"Tempat liburan di Surabaya yg terjangkau. HTMnya murah meriah only 15k. Masuk dunia ikan byr lg 20k/org. Bisa dibuat edukasi ke anak2.
Tempat parkir luasssss, motor, mobil, bis oke semuanya. …",1
Bay's Channel,"Cukup oke untuk wisata ditengah perkotaan, semoga ada peningkatan lagi terkait penambahan binatangnya di setiap kandang karena beberapa kandang tidak terlalu kelihatan binatangnya.",0
Daniar Anggit,"Tempat padat pemgunjung saat hari minggu, parkir digedung parkir sebelah lantai 5, pembayaran masih bisa cash, lokasi wisata bersih, banyak lokasi tempat sampah, hewan nampak sehat dan bermacam macam hewan. Si kecil senang, lain waktu bisa berkunjung lagi",1
Rizki Romadona,Pas kesana minggu kemarin. Pengunjung nya padat sekali. Sama untuk rute atau peta dalam kebun binatang harap ditingkatkan lagi. Atau dibuat lebih ber alur,2
Lintang Agusti,"Saya berkunjung pada bulan ramadhan tanggal 5 April 2022
untuk tiket masuk parkir motor permotor 5.000
untuk masuk ke KBS dikenakan 15.000 per kepala. sangat murah banget selama saya …",1
Rotun Naf,"Kebun binatang Surabaya selalu ada perkembangan gais. Sekarang tempatnya dah mulai terawat lagi setelah covid dulu.
Selalu ada pembenahan jugaa. …",1
JOYO ENDO CORP,"Salah satu pilihan Tempat berlibur untuk keluarga yg murah meriah,menikmati pemandangn hijau dan sejuk dtengah kota Surabaya…tingkatkan terus pelayanannya terutama kebersihan bbrp tempat masih kurang.",1
fitri andriani,Harga terjangkau. Satwa lumayan lengkap. Hanya saja saat kondisi pengunjung ramai sehingga tidak menemukan tempat duduk yang memadai di beberapa sudut lokasi KBS.,0
Nia Ariningtyas,"Sempet males kesini krn dulu kotor, sekarang lebih bersih... Lumayan buat yg mau piknik tipis2 area surabaya, ada jalur gowes jg di dalam... Kalau pas mendung suasananya mirip2 lah kayak di batu..Tiket bisa bayar pakai qris juga.. Pas weekend biar gak ngantri mending dateng pas pagi baru buka..",1
Spider With Web,"Bonbin Surabaya, atau lebih dikenal dengan nama KBS, sekarang sudah benar benar berkembang, hewan hewannya lengkap mulai dari hewan darat hingga airny, lengkap juga dengan penjelasan untuk si anak yang lagi belajar mengenal hewan hewan, hari libur benar benar ramai oleh pengunjung luar surabaya.",1
Belajar Produktif,"Tiket terjangkau @15k/orang, tempat bersih dan koleksi binatangnya masih banyak , cocok untuk liburan bersama keluarga. Bawa makanan dari luar jg diperbolehkan",1
papu djie,"Sayang sekali pas ke kbs gajah lagi sakit jadi area gajah ditutup
Ramai pengunjung
Tiket masuk 15k …",2
arjun baihaqy,"Masuknya harus bayar pake QRIS/online payment, jadi cukup menyulitkan orang yg belum pakai metode pembayaran itu. Kondisi kebun binatangnya sih hidup segan mati tak mau, banyak yg perlu dibenahi. …",2
Eva Krismianto,"KBS mulai ramai pengunjung setelah lama lockdown, tpi masih tetap menerapkan 3M ya, terutama pakai masker, bersih binatang nya juga lumayan variatif tpi blum trlalu lengkap, smoga tambah maju KBS 👍👍👍 …",1
Musyafa' Tanjung,"Sangat cocok untuk keluarga, dengan tiket 15k sudah dapat mengelilingi kebun binatang sampai capek, kalau kurang bisa beli tiket lagi untuk wahana aquarium kurang lebih 35k. …",1
Alvaro M. Rafi,"Saat ini KBS semakin tertata, bersih, dan nyaman👍
Koleksi hewannya juga banyak
Harga tiket masuk Rp 15.000,-/ orang …",1
ningce azza,Kemarin hari Minggu tgl 15 Mei saya dan kluarga saya berkunjung di KBS.awal masuk saya mau parkir sesuai petunjuk rambu.tiba tiba ada penjual apa itu saya ga tau.katanya full parkiran speda motor.sontak kaget dan diarahkan ke parkiran …,0
Husnul,"Satu dari sekian tempat rekreasi keluaga di kota Surabaya, sudah mulai rame pengunjung sejak selesai Pandemi waktu lalu. Tiket masuk terjangkau.
Lingkungan rindang banyak pepohonan besar, cuman untuk kebersihan masi kurang …",1
Ifan Effendi,"Taman rekreasi keluarga yang menyenangkan. Crowded memang, tapi tetap bisa dinikmati dengan baik. Bisa direkomendasikan untuj perjalanan yanv ingin menikmati suasana alam rindang dan nggak panas, meski terbuka.",1
Dwi S N,"Bonbin sudah jauh lebih baik dibandingkan terakhir mengunjungi 8tahun lalu. Begitu banyak perubahan positif. Akan tetapi, beberapa hal yang perlu menjadi pertimbangan. Dengan tiket masuk yang merakyat alangkah baiknya tarif untuk berfoto …",0
Dimas Mboqe,"Kebun binatang yg lumayan lengkap koleksi satwanya
Tempatnya teduh dengan pepohonan yg rindang
Lumayan bersih dan semoga bisa ditingkatkan lagi …",1
stefani sora,"Kebun binatang Surabaya sekarang sudah jauh lebih baik dalam hal kebersihan dll, dan juga skrg banyak spot2 foto yg seru. Tiket msk 15 ribu murah meriah",1
Vrila,"Kebun binatang yg terletak di daerah Wonokromo, dekat stasiun juga terminal. Kemarin pas parkir kita gk dapat tempat alias full,jd kita diarahkan parkir di terminal Joyoboyo. Untuk pembelian tiket bisa di terminal Joyoboyo,juga bisa di …",0
Elsa Dahlia Silitonga,"Hai kalian pecinta hewan dan juga si paling suka eksplore alam. Ini tempat paling keren deh apalagi kalo rumahnya ada di surabaya, harga tiket masuknya cuman 15 rb per orang yah gaess,, menurutku sih binatangnya lengkap semua di sini dan …",1
Febe Novita,Tempatnya JAUH LEBIH BERSIH daripada dulu... Tapi tetep aja kayak hewannya sedikit dan kayak kurus2 gitu... Beberapa sudah gak ada hewan di kandangnya... Saran bisa dinaikin sih harganya tp dengn fasilitas lebih baik. Org2 aja rela ke Batu …,2
Deby Manalu,"Kebun Binatang Surabaya, sekarang sudah bagus, tapi perlu ditingkatkan lagi. Tempatnya bersih, foodcourtnya banyak pilihan dg harga terjangkau. Toilet bersih, tapi sayang, masih harus berbayar....tiket masuk murah, wajarlah, pengelola kan …",0
Adjie Booxien,"Kebun binatang yang rame banget kalo weekend /libur nasional. Jadi kalo pengen jalan2 yg nyaman ya ambil cuti di weekdays buat main2 ke KBS sama keluarga.
Untuk perawatan kebun binatang sudah bagus tp perlu ditingkatkan lagi krn …",1
Tata Rizqiyah,"Akhir pekan kesini bersama anak2 tersayang, tempatnya bersih dan banyak peningkatan dr segi bangunan dan tata kelolanya, cukup mengikuti zaman dan memudahkan para pengunjung,... Mari kita support wisata surabaya ini dengan gencar memberikan …",1
Kreview,"Kesini lagi setelah belasan tahun ga kesini dan banyak berubah. Kondisinya lebih bagus tertata apik dan rapih.
Kesini waktu Hari Jumat, dan menurut saya itu waktu yg pas untuk kesini. Karena …",1
Wahyu Bhumisambudhara,"Tiket masuk per orang bulan Januari 2023 15.000
Kondisinya Lebih bagus dari 10 tahun yang lalu. Cuman untuk koleksi binatang air perlu bayar tiket lagi. …",1
nourma amalia,"Tempat nya luas, Adem, pastinya ada musola dan kamar mandi (bayar 2k). ada banyak pujasera jadi gak bakal kelaparan. Gak boleh bawa tiker gais. Tiket masuk 15k.  Kalo parkir mobil langsung masuk aja ke kbs nya. Biar gak diparkirin sama calo ( mahal + tempat parkir nya kejauhan).",1
